order_date,bp,previous_bp,city,order_date_1,order_month,order_year,price_sold_at,quantity
2022-08-11 06:08:29,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:08:29,8,2022,611300,1
2022-08-11 06:08:29,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:08:29,8,2022,611300,1
2022-08-11 06:03:21,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:03:21,8,2022,593700,1
2022-08-11 06:03:21,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:03:21,8,2022,593700,1
2022-08-11 06:02:26,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:02:26,8,2022,611300,1
2022-08-11 06:02:26,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:02:26,8,2022,611300,1
2022-08-11 05:36:23,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 05:36:23,8,2022,611300,1
2022-08-11 05:36:23,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 05:36:23,8,2022,611300,1
2022-08-11 05:11:12,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 05:11:12,8,2022,593700,1
2022-08-11 05:11:12,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 05:11:12,8,2022,593700,1
2022-08-11 05:11:12,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 05:11:12,8,2022,593700,1
2022-08-11 05:11:12,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 05:11:12,8,2022,593700,1
2022-08-11 05:10:24,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 05:10:24,8,2022,611300,1
2022-08-11 05:10:24,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 05:10:24,8,2022,611300,1
2022-08-11 05:10:24,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 05:10:24,8,2022,611300,1
2022-08-11 05:10:24,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 05:10:24,8,2022,611300,1
2022-08-11 05:10:24,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 05:10:24,8,2022,611300,1
2022-08-11 05:10:17,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 05:10:17,8,2022,593700,1
2022-08-11 05:10:17,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 05:10:17,8,2022,593700,1
2022-08-11 05:10:17,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 05:10:17,8,2022,593700,1
2022-08-11 05:00:22,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 05:00:22,8,2022,593700,1
2022-08-11 05:00:22,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 05:00:22,8,2022,593700,1
2022-08-11 05:00:22,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 05:00:22,8,2022,593700,1
2022-08-11 05:00:22,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 05:00:22,8,2022,593700,1
2022-08-11 05:00:00,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 05:00:00,8,2022,593700,2
2022-08-11 05:00:00,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 05:00:00,8,2022,593700,2
2022-08-11 04:59:34,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 04:59:34,8,2022,611300,1
2022-08-11 04:59:34,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 04:59:34,8,2022,611300,1
2022-08-11 04:59:34,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 04:59:34,8,2022,611300,1
2022-08-11 04:59:34,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 04:59:34,8,2022,611300,1
2022-08-11 04:51:09,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 04:51:09,8,2022,593700,1
2022-08-11 04:51:09,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 04:51:09,8,2022,593700,1
2022-08-11 04:51:09,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 04:51:09,8,2022,593700,1
2022-08-11 04:51:09,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 04:51:09,8,2022,593700,1
2022-08-11 04:50:12,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 04:50:12,8,2022,593700,1
2022-08-11 04:50:12,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 04:50:12,8,2022,593700,1
2022-08-11 04:50:12,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 04:50:12,8,2022,593700,1
2022-08-11 04:50:12,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 04:50:12,8,2022,593700,1
2022-08-11 04:50:12,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 04:50:12,8,2022,593700,1
2022-08-11 04:49:06,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 04:49:06,8,2022,593700,1
2022-08-11 04:49:06,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 04:49:06,8,2022,593700,1
2022-08-11 04:49:06,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 04:49:06,8,2022,593700,1
2022-08-11 04:49:06,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 04:49:06,8,2022,593700,1
2022-08-11 04:49:06,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 04:49:06,8,2022,593700,1
2022-08-11 04:32:36,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 04:32:36,8,2022,593700,2
2022-08-11 04:32:36,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 04:32:36,8,2022,593700,2
2022-08-11 04:29:59,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 04:29:59,8,2022,593700,5
2022-08-11 04:29:59,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 04:29:59,8,2022,593700,5
2022-08-11 04:22:37,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 04:22:37,8,2022,593700,5
2022-08-11 04:22:37,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 04:22:37,8,2022,593700,5
2022-08-11 04:20:26,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 04:20:26,8,2022,593700,1
2022-08-11 04:20:26,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 04:20:26,8,2022,593700,1
2022-08-11 04:20:26,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 04:20:26,8,2022,593700,1
2022-08-11 04:20:26,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 04:20:26,8,2022,593700,1
2022-08-11 04:17:03,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 04:17:03,8,2022,593700,1
2022-08-11 04:17:03,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 04:17:03,8,2022,593700,1
2022-08-11 04:12:36,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 04:12:36,8,2022,593700,1
2022-08-11 04:12:36,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 04:12:36,8,2022,593700,1
2022-08-11 04:07:21,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 04:07:21,8,2022,593700,1
2022-08-11 04:07:21,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 04:07:21,8,2022,593700,1
2022-08-11 04:07:21,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 04:07:21,8,2022,593700,1
2022-08-11 04:07:21,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 04:07:21,8,2022,593700,1
2022-08-11 03:34:42,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 03:34:42,8,2022,593700,1
2022-08-11 03:34:42,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 03:34:42,8,2022,593700,1
2022-08-11 03:22:17,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 03:22:17,8,2022,611300,1
2022-08-11 03:22:17,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 03:22:17,8,2022,611300,1
2022-08-11 03:08:34,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 03:08:34,8,2022,593700,1
2022-08-11 03:08:34,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 03:08:34,8,2022,593700,1
2022-08-11 02:42:31,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:42:31,8,2022,593700,1
2022-08-11 02:42:31,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:42:31,8,2022,593700,1
2022-08-11 02:42:31,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:42:31,8,2022,593700,1
2022-08-11 02:42:31,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:42:31,8,2022,593700,1
2022-08-11 02:42:31,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:42:31,8,2022,593700,1
2022-08-11 02:42:31,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:42:31,8,2022,593700,1
2022-08-11 02:41:24,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:41:24,8,2022,593700,1
2022-08-11 02:41:24,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:41:24,8,2022,593700,1
2022-08-11 02:41:24,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:41:24,8,2022,593700,1
2022-08-11 02:41:24,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:41:24,8,2022,593700,1
2022-08-11 02:41:24,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:41:24,8,2022,593700,1
2022-08-11 02:41:24,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:41:24,8,2022,593700,1
2022-08-11 02:41:24,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:41:24,8,2022,593700,1
2022-08-11 02:41:24,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:41:24,8,2022,593700,1
2022-08-11 02:40:08,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:40:08,8,2022,611300,1
2022-08-11 02:40:08,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:40:08,8,2022,611300,1
2022-08-11 02:40:08,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:40:08,8,2022,611300,1
2022-08-11 02:40:08,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:40:08,8,2022,611300,1
2022-08-11 02:40:08,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:40:08,8,2022,611300,1
2022-08-11 02:40:08,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:40:08,8,2022,611300,1
